序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期后区开奖号,是否正确,正确的球,正确率
91,26053,最新一期两球组合,30,第1名,5,26054,8 11,否,,0%
92,26053,最新一期两球组合,30,最后1名,10,26054,8 11,否,,0%
93,26053,倒数2期两球组合,30,第1名,3,26054,8 11,否,,0%
94,26053,倒数2期两球组合,30,最后1名,5 6,26054,8 11,否,,0%
95,26053,倒数3期两球组合,30,第1名,5 9,26054,8 11,否,,0%
96,26053,倒数3期两球组合,30,最后1名,11,26054,8 11,是,11,100.0%
97,26053,倒数4期两球组合,30,第1名,1,26054,8 11,否,,0%
98,26053,倒数4期两球组合,30,最后1名,4,26054,8 11,否,,0%
99,26053,倒数5期两球组合,30,第1名,4 11,26054,8 11,是,11,50.0%
100,26053,倒数5期两球组合,30,最后1名,3,26054,8 11,否,,0%
101,26053,最新一期两球组合,20,第1名,5,26054,8 11,否,,0%
102,26053,最新一期两球组合,20,最后1名,4 6 7 8 12,26054,8 11,是,8,20.0%
103,26053,倒数2期两球组合,20,第1名,10,26054,8 11,否,,0%
104,26053,倒数2期两球组合,20,最后1名,7,26054,8 11,否,,0%
105,26053,倒数3期两球组合,20,第1名,8,26054,8 11,是,8,100.0%
106,26053,倒数3期两球组合,20,最后1名,3,26054,8 11,否,,0%
107,26053,倒数4期两球组合,20,第1名,3,26054,8 11,否,,0%
108,26053,倒数4期两球组合,20,最后1名,2,26054,8 11,否,,0%
109,26053,倒数5期两球组合,20,第1名,4,26054,8 11,否,,0%
110,26053,倒数5期两球组合,20,最后1名,1,26054,8 11,否,,0%
111,26053,最新一期两球组合,10,第1名,10,26054,8 11,否,,0%
112,26053,最新一期两球组合,10,最后1名,12,26054,8 11,否,,0%
113,26053,倒数2期两球组合,10,第1名,8,26054,8 11,是,8,100.0%
114,26053,倒数2期两球组合,10,最后1名,2,26054,8 11,否,,0%
115,26053,倒数3期两球组合,10,第1名,12,26054,8 11,否,,0%
116,26053,倒数3期两球组合,10,最后1名,9 10,26054,8 11,否,,0%
117,26053,倒数4期两球组合,10,第1名,4,26054,8 11,否,,0%
118,26053,倒数4期两球组合,10,最后1名,5,26054,8 11,否,,0%
119,26053,倒数5期两球组合,10,第1名,11,26054,8 11,是,11,100.0%
120,26053,倒数5期两球组合,10,最后1名,1 6 12,26054,8 11,否,,0%
121,26052,最新一期两球组合,50,第1名,11,26053,5 9,否,,0%
122,26052,最新一期两球组合,50,最后1名,1,26053,5 9,否,,0%
123,26052,倒数2期两球组合,50,第1名,7,26053,5 9,否,,0%
124,26052,倒数2期两球组合,50,最后1名,6,26053,5 9,否,,0%
125,26052,倒数3期两球组合,50,第1名,6,26053,5 9,否,,0%
126,26052,倒数3期两球组合,50,最后1名,4 11,26053,5 9,否,,0%
127,26052,倒数4期两球组合,50,第1名,4,26053,5 9,否,,0%
128,26052,倒数4期两球组合,50,最后1名,8,26053,5 9,否,,0%
129,26052,倒数5期两球组合,50,第1名,6,26053,5 9,否,,0%
130,26052,倒数5期两球组合,50,最后1名,3 7 10 11,26053,5 9,否,,0%
131,26052,最新一期两球组合,30,第1名,11,26053,5 9,否,,0%
132,26052,最新一期两球组合,30,最后1名,5 10,26053,5 9,是,5,50.0%
133,26052,倒数2期两球组合,30,第1名,3,26053,5 9,否,,0%
134,26052,倒数2期两球组合,30,最后1名,11,26053,5 9,否,,0%
135,26052,倒数3期两球组合,30,第1名,11,26053,5 9,否,,0%
136,26052,倒数3期两球组合,30,最后1名,4,26053,5 9,否,,0%
137,26052,倒数4期两球组合,30,第1名,5,26053,5 9,是,5,100.0%
138,26052,倒数4期两球组合,30,最后1名,6,26053,5 9,否,,0%
139,26052,倒数5期两球组合,30,第1名,6,26053,5 9,否,,0%
140,26052,倒数5期两球组合,30,最后1名,10,26053,5 9,否,,0%
141,26052,最新一期两球组合,20,第1名,11,26053,5 9,否,,0%
142,26052,最新一期两球组合,20,最后1名,10 12,26053,5 9,否,,0%
143,26052,倒数2期两球组合,20,第1名,3,26053,5 9,否,,0%
144,26052,倒数2期两球组合,20,最后1名,6,26053,5 9,否,,0%
145,26052,倒数3期两球组合,20,第1名,5,26053,5 9,是,5,100.0%
146,26052,倒数3期两球组合,20,最后1名,4,26053,5 9,否,,0%
147,26052,倒数4期两球组合,20,第1名,4,26053,5 9,否,,0%
148,26052,倒数4期两球组合,20,最后1名,8,26053,5 9,否,,0%
149,26052,倒数5期两球组合,20,第1名,6,26053,5 9,否,,0%
150,26052,倒数5期两球组合,20,最后1名,1 10,26053,5 9,否,,0%
151,26052,最新一期两球组合,10,第1名,11,26053,5 9,否,,0%
152,26052,最新一期两球组合,10,最后1名,3 10,26053,5 9,否,,0%
153,26052,倒数2期两球组合,10,第1名,4,26053,5 9,否,,0%
154,26052,倒数2期两球组合,10,最后1名,2 6,26053,5 9,否,,0%
155,26052,倒数3期两球组合,10,第1名,5,26053,5 9,是,5,100.0%
156,26052,倒数3期两球组合,10,最后1名,9,26053,5 9,是,9,100.0%
157,26052,倒数4期两球组合,10,第1名,5,26053,5 9,是,5,100.0%
158,26052,倒数4期两球组合,10,最后1名,8,26053,5 9,否,,0%
159,26052,倒数5期两球组合,10,第1名,11,26053,5 9,否,,0%
160,26052,倒数5期两球组合,10,最后1名,3 8 12,26053,5 9,否,,0%
161,26051,最新一期两球组合,50,第1名,10,26052,12 2,否,,0%
162,26051,最新一期两球组合,50,最后1名,11,26052,12 2,否,,0%
163,26051,倒数2期两球组合,50,第1名,9,26052,12 2,否,,0%
164,26051,倒数2期两球组合,50,最后1名,5,26052,12 2,否,,0%
165,26051,倒数3期两球组合,50,第1名,2 5,26052,12 2,是,2,50.0%
166,26051,倒数3期两球组合,50,最后1名,1,26052,12 2,否,,0%
167,26051,倒数4期两球组合,50,第1名,12,26052,12 2,是,12,100.0%
168,26051,倒数4期两球组合,50,最后1名,6,26052,12 2,否,,0%
169,26051,倒数5期两球组合,50,第1名,5,26052,12 2,否,,0%
170,26051,倒数5期两球组合,50,最后1名,7 12,26052,12 2,是,12,50.0%
171,26051,最新一期两球组合,30,第1名,10,26052,12 2,否,,0%
172,26051,最新一期两球组合,30,最后1名,1 11 12,26052,12 2,是,12,33.3%
173,26051,倒数2期两球组合,30,第1名,12,26052,12 2,是,12,100.0%
174,26051,倒数2期两球组合,30,最后1名,9,26052,12 2,否,,0%
175,26051,倒数3期两球组合,30,第1名,7,26052,12 2,否,,0%
176,26051,倒数3期两球组合,30,最后1名,1,26052,12 2,否,,0%
177,26051,倒数4期两球组合,30,第1名,10,26052,12 2,否,,0%
178,26051,倒数4期两球组合,30,最后1名,7,26052,12 2,否,,0%
179,26051,倒数5期两球组合,30,第1名,5,26052,12 2,否,,0%
180,26051,倒数5期两球组合,30,最后1名,3,26052,12 2,否,,0%
181,26051,最新一期两球组合,20,第1名,9,26052,12 2,否,,0%
182,26051,最新一期两球组合,20,最后1名,2 6,26052,12 2,是,2,50.0%
183,26051,倒数2期两球组合,20,第1名,6,26052,12 2,否,,0%
184,26051,倒数2期两球组合,20,最后1名,9,26052,12 2,否,,0%
185,26051,倒数3期两球组合,20,第1名,7,26052,12 2,否,,0%
186,26051,倒数3期两球组合,20,最后1名,4 10,26052,12 2,否,,0%
187,26051,倒数4期两球组合,20,第1名,10,26052,12 2,否,,0%
188,26051,倒数4期两球组合,20,最后1名,6,26052,12 2,否,,0%
189,26051,倒数5期两球组合,20,第1名,5,26052,12 2,否,,0%
190,26051,倒数5期两球组合,20,最后1名,1 2 7 8,26052,12 2,是,2,25.0%
191,26051,最新一期两球组合,10,第1名,5 11,26052,12 2,否,,0%
192,26051,最新一期两球组合,10,最后1名,1 7,26052,12 2,否,,0%
193,26051,倒数2期两球组合,10,第1名,4,26052,12 2,否,,0%
194,26051,倒数2期两球组合,10,最后1名,2 3,26052,12 2,是,2,50.0%
195,26051,倒数3期两球组合,10,第1名,7 8,26052,12 2,否,,0%
196,26051,倒数3期两球组合,10,最后1名,9 10,26052,12 2,否,,0%
197,26051,倒数4期两球组合,10,第1名,5,26052,12 2,否,,0%
198,26051,倒数4期两球组合,10,最后1名,6,26052,12 2,否,,0%
199,26051,倒数5期两球组合,10,第1名,8 9,26052,12 2,否,,0%
200,26051,倒数5期两球组合,10,最后1名,6 10 12,26052,12 2,是,12,33.3%
201,26050,最新一期两球组合,50,第1名,12,26051,2 11,否,,0%
202,26050,最新一期两球组合,50,最后1名,8 9,26051,2 11,否,,0%
203,26050,倒数2期两球组合,50,第1名,1,26051,2 11,否,,0%
204,26050,倒数2期两球组合,50,最后1名,10,26051,2 11,否,,0%
205,26050,倒数3期两球组合,50,第1名,6,26051,2 11,否,,0%
206,26050,倒数3期两球组合,50,最后1名,3,26051,2 11,否,,0%
207,26050,倒数4期两球组合,50,第1名,12,26051,2 11,否,,0%
208,26050,倒数4期两球组合,50,最后1名,1 8,26051,2 11,否,,0%
209,26050,倒数5期两球组合,50,第1名,6,26051,2 11,否,,0%
210,26050,倒数5期两球组合,50,最后1名,7,26051,2 11,否,,0%
211,26050,最新一期两球组合,30,第1名,4,26051,2 11,否,,0%
212,26050,最新一期两球组合,30,最后1名,2,26051,2 11,是,2,100.0%
213,26050,倒数2期两球组合,30,第1名,8,26051,2 11,否,,0%
214,26050,倒数2期两球组合,30,最后1名,5,26051,2 11,否,,0%
215,26050,倒数3期两球组合,30,第1名,9,26051,2 11,否,,0%
216,26050,倒数3期两球组合,30,最后1名,5 10,26051,2 11,否,,0%
217,26050,倒数4期两球组合,30,第1名,12,26051,2 11,否,,0%
218,26050,倒数4期两球组合,30,最后1名,4 11,26051,2 11,是,11,50.0%
219,26050,倒数5期两球组合,30,第1名,10,26051,2 11,否,,0%
220,26050,倒数5期两球组合,30,最后1名,1 4,26051,2 11,否,,0%
221,26050,最新一期两球组合,20,第1名,12,26051,2 11,否,,0%
222,26050,最新一期两球组合,20,最后1名,10,26051,2 11,否,,0%
223,26050,倒数2期两球组合,20,第1名,1,26051,2 11,否,,0%
224,26050,倒数2期两球组合,20,最后1名,3,26051,2 11,否,,0%
225,26050,倒数3期两球组合,20,第1名,9,26051,2 11,否,,0%
226,26050,倒数3期两球组合,20,最后1名,5 6 7,26051,2 11,否,,0%
227,26050,倒数4期两球组合,20,第1名,12,26051,2 11,否,,0%
228,26050,倒数4期两球组合,20,最后1名,1 4 11,26051,2 11,是,11,33.3%
229,26050,倒数5期两球组合,20,第1名,8,26051,2 11,否,,0%
230,26050,倒数5期两球组合,20,最后1名,2 7,26051,2 11,是,2,50.0%
231,26050,最新一期两球组合,10,第1名,6,26051,2 11,否,,0%
232,26050,最新一期两球组合,10,最后1名,10,26051,2 11,否,,0%
233,26050,倒数2期两球组合,10,第1名,1,26051,2 11,否,,0%
234,26050,倒数2期两球组合,10,最后1名,3,26051,2 11,否,,0%
235,26050,倒数3期两球组合,10,第1名,9,26051,2 11,否,,0%
236,26050,倒数3期两球组合,10,最后1名,5 11 12,26051,2 11,是,11,33.3%
237,26050,倒数4期两球组合,10,第1名,12,26051,2 11,否,,0%
238,26050,倒数4期两球组合,10,最后1名,5 6,26051,2 11,否,,0%
239,26050,倒数5期两球组合,10,第1名,8,26051,2 11,否,,0%
240,26050,倒数5期两球组合,10,最后1名,7 9,26051,2 11,否,,0%
241,26049,最新一期两球组合,50,第1名,5,26050,10 8,否,,0%
242,26049,最新一期两球组合,50,最后1名,9,26050,10 8,否,,0%
243,26049,倒数2期两球组合,50,第1名,1,26050,10 8,否,,0%
244,26049,倒数2期两球组合,50,最后1名,4,26050,10 8,否,,0%
245,26049,倒数3期两球组合,50,第1名,10,26050,10 8,是,10,100.0%
246,26049,倒数3期两球组合,50,最后1名,1,26050,10 8,否,,0%
247,26049,倒数4期两球组合,50,第1名,2,26050,10 8,否,,0%
248,26049,倒数4期两球组合,50,最后1名,4,26050,10 8,否,,0%
249,26049,倒数5期两球组合,50,第1名,6,26050,10 8,否,,0%
250,26049,倒数5期两球组合,50,最后1名,7,26050,10 8,否,,0%
251,26049,最新一期两球组合,30,第1名,5,26050,10 8,否,,0%
252,26049,最新一期两球组合,30,最后1名,10 12,26050,10 8,是,10,50.0%
253,26049,倒数2期两球组合,30,第1名,7 8,26050,10 8,是,8,50.0%
254,26049,倒数2期两球组合,30,最后1名,4 5 11,26050,10 8,否,,0%
255,26049,倒数3期两球组合,30,第1名,7,26050,10 8,否,,0%
256,26049,倒数3期两球组合,30,最后1名,1,26050,10 8,否,,0%
257,26049,倒数4期两球组合,30,第1名,6,26050,10 8,否,,0%
258,26049,倒数4期两球组合,30,最后1名,4,26050,10 8,否,,0%
259,26049,倒数5期两球组合,30,第1名,6,26050,10 8,否,,0%
260,26049,倒数5期两球组合,30,最后1名,4 7 9,26050,10 8,否,,0%
261,26049,最新一期两球组合,20,第1名,5,26050,10 8,否,,0%
262,26049,最新一期两球组合,20,最后1名,3 8,26050,10 8,是,8,50.0%
263,26049,倒数2期两球组合,20,第1名,9,26050,10 8,否,,0%
264,26049,倒数2期两球组合,20,最后1名,6 11,26050,10 8,否,,0%
265,26049,倒数3期两球组合,20,第1名,11,26050,10 8,否,,0%
266,26049,倒数3期两球组合,20,最后1名,2 5,26050,10 8,否,,0%
267,26049,倒数4期两球组合,20,第1名,6,26050,10 8,否,,0%
268,26049,倒数4期两球组合,20,最后1名,4,26050,10 8,否,,0%
269,26049,倒数5期两球组合,20,第1名,6,26050,10 8,否,,0%
270,26049,倒数5期两球组合,20,最后1名,7,26050,10 8,否,,0%
271,26049,最新一期两球组合,10,第1名,11,26050,10 8,否,,0%
272,26049,最新一期两球组合,10,最后1名,1 3,26050,10 8,否,,0%
273,26049,倒数2期两球组合,10,第1名,2,26050,10 8,否,,0%
274,26049,倒数2期两球组合,10,最后1名,12,26050,10 8,否,,0%
275,26049,倒数3期两球组合,10,第1名,11,26050,10 8,否,,0%
276,26049,倒数3期两球组合,10,最后1名,12,26050,10 8,否,,0%
277,26049,倒数4期两球组合,10,第1名,3,26050,10 8,否,,0%
278,26049,倒数4期两球组合,10,最后1名,1 9,26050,10 8,否,,0%
279,26049,倒数5期两球组合,10,第1名,5,26050,10 8,否,,0%
280,26049,倒数5期两球组合,10,最后1名,7,26050,10 8,否,,0%
281,26048,最新一期两球组合,50,第1名,1,26049,2 3,否,,0%
282,26048,最新一期两球组合,50,最后1名,10,26049,2 3,否,,0%
283,26048,倒数2期两球组合,50,第1名,6,26049,2 3,否,,0%
284,26048,倒数2期两球组合,50,最后1名,10,26049,2 3,否,,0%
285,26048,倒数3期两球组合,50,第1名,3,26049,2 3,是,3,100.0%
286,26048,倒数3期两球组合,50,最后1名,4,26049,2 3,否,,0%
287,26048,倒数4期两球组合,50,第1名,2,26049,2 3,是,2,100.0%
288,26048,倒数4期两球组合,50,最后1名,4,26049,2 3,否,,0%
289,26048,倒数5期两球组合,50,第1名,3,26049,2 3,是,3,100.0%
290,26048,倒数5期两球组合,50,最后1名,4 7 10,26049,2 3,否,,0%
291,26048,最新一期两球组合,30,第1名,2,26049,2 3,是,2,100.0%
292,26048,最新一期两球组合,30,最后1名,4 9,26049,2 3,否,,0%
293,26048,倒数2期两球组合,30,第1名,4,26049,2 3,否,,0%
294,26048,倒数2期两球组合,30,最后1名,7 10,26049,2 3,否,,0%
295,26048,倒数3期两球组合,30,第1名,10,26049,2 3,否,,0%
296,26048,倒数3期两球组合,30,最后1名,9,26049,2 3,否,,0%
297,26048,倒数4期两球组合,30,第1名,6,26049,2 3,否,,0%
298,26048,倒数4期两球组合,30,最后1名,4,26049,2 3,否,,0%
299,26048,倒数5期两球组合,30,第1名,5,26049,2 3,否,,0%
300,26048,倒数5期两球组合,30,最后1名,7,26049,2 3,否,,0%
301,26048,最新一期两球组合,20,第1名,2,26049,2 3,是,2,100.0%
302,26048,最新一期两球组合,20,最后1名,1,26049,2 3,否,,0%
303,26048,倒数2期两球组合,20,第1名,11,26049,2 3,否,,0%
304,26048,倒数2期两球组合,20,最后1名,1,26049,2 3,否,,0%
305,26048,倒数3期两球组合,20,第1名,10,26049,2 3,否,,0%
306,26048,倒数3期两球组合,20,最后1名,9,26049,2 3,否,,0%
307,26048,倒数4期两球组合,20,第1名,6,26049,2 3,否,,0%
308,26048,倒数4期两球组合,20,最后1名,4,26049,2 3,否,,0%
309,26048,倒数5期两球组合,20,第1名,2 10,26049,2 3,是,2,50.0%
310,26048,倒数5期两球组合,20,最后1名,1,26049,2 3,否,,0%
311,26048,最新一期两球组合,10,第1名,3,26049,2 3,是,3,100.0%
312,26048,最新一期两球组合,10,最后1名,6 10,26049,2 3,否,,0%
313,26048,倒数2期两球组合,10,第1名,8,26049,2 3,否,,0%
314,26048,倒数2期两球组合,10,最后1名,2 6 7 9 10,26049,2 3,是,2,20.0%
315,26048,倒数3期两球组合,10,第1名,10,26049,2 3,否,,0%
316,26048,倒数3期两球组合,10,最后1名,2 4,26049,2 3,是,2,50.0%
317,26048,倒数4期两球组合,10,第1名,2 6 10,26049,2 3,是,2,33.3%
318,26048,倒数4期两球组合,10,最后1名,7 8,26049,2 3,否,,0%
319,26048,倒数5期两球组合,10,第1名,2 10,26049,2 3,是,2,50.0%
320,26048,倒数5期两球组合,10,最后1名,4 7,26049,2 3,否,,0%
321,26047,最新一期两球组合,50,第1名,8,26048,10 1,否,,0%
322,26047,最新一期两球组合,50,最后1名,7,26048,10 1,否,,0%
323,26047,倒数2期两球组合,50,第1名,6,26048,10 1,否,,0%
324,26047,倒数2期两球组合,50,最后1名,8,26048,10 1,否,,0%
325,26047,倒数3期两球组合,50,第1名,3,26048,10 1,否,,0%
326,26047,倒数3期两球组合,50,最后1名,1 4,26048,10 1,是,1,50.0%
327,26047,倒数4期两球组合,50,第1名,11,26048,10 1,否,,0%
328,26047,倒数4期两球组合,50,最后1名,7,26048,10 1,否,,0%
329,26047,倒数5期两球组合,50,第1名,9,26048,10 1,否,,0%
330,26047,倒数5期两球组合,50,最后1名,3 6 7,26048,10 1,否,,0%
331,26047,最新一期两球组合,30,第1名,12,26048,10 1,否,,0%
332,26047,最新一期两球组合,30,最后1名,7,26048,10 1,否,,0%
333,26047,倒数2期两球组合,30,第1名,5,26048,10 1,否,,0%
334,26047,倒数2期两球组合,30,最后1名,3,26048,10 1,否,,0%
335,26047,倒数3期两球组合,30,第1名,10,26048,10 1,是,10,100.0%
336,26047,倒数3期两球组合,30,最后1名,1,26048,10 1,是,1,100.0%
337,26047,倒数4期两球组合,30,第1名,2,26048,10 1,否,,0%
338,26047,倒数4期两球组合,30,最后1名,12,26048,10 1,否,,0%
339,26047,倒数5期两球组合,30,第1名,9,26048,10 1,否,,0%
340,26047,倒数5期两球组合,30,最后1名,6,26048,10 1,否,,0%
341,26047,最新一期两球组合,20,第1名,11,26048,10 1,否,,0%
342,26047,最新一期两球组合,20,最后1名,7,26048,10 1,否,,0%
343,26047,倒数2期两球组合,20,第1名,5,26048,10 1,否,,0%
344,26047,倒数2期两球组合,20,最后1名,7,26048,10 1,否,,0%
345,26047,倒数3期两球组合,20,第1名,2 10,26048,10 1,是,10,50.0%
346,26047,倒数3期两球组合,20,最后1名,11,26048,10 1,否,,0%
347,26047,倒数4期两球组合,20,第1名,2 9 11,26048,10 1,否,,0%
348,26047,倒数4期两球组合,20,最后1名,12,26048,10 1,否,,0%
349,26047,倒数5期两球组合,20,第1名,10,26048,10 1,是,10,100.0%
350,26047,倒数5期两球组合,20,最后1名,5,26048,10 1,否,,0%
351,26047,最新一期两球组合,10,第1名,11,26048,10 1,否,,0%
352,26047,最新一期两球组合,10,最后1名,5,26048,10 1,否,,0%
353,26047,倒数2期两球组合,10,第1名,12,26048,10 1,否,,0%
354,26047,倒数2期两球组合,10,最后1名,3,26048,10 1,否,,0%
355,26047,倒数3期两球组合,10,第1名,8,26048,10 1,否,,0%
356,26047,倒数3期两球组合,10,最后1名,6 11 12,26048,10 1,否,,0%
357,26047,倒数4期两球组合,10,第1名,2,26048,10 1,否,,0%
358,26047,倒数4期两球组合,10,最后1名,7,26048,10 1,否,,0%
359,26047,倒数5期两球组合,10,第1名,8,26048,10 1,否,,0%
360,26047,倒数5期两球组合,10,最后1名,6 7 10,26048,10 1,是,10,33.3%
361,26046,最新一期两球组合,50,第1名,1,26047,11 6,否,,0%
362,26046,最新一期两球组合,50,最后1名,12,26047,11 6,否,,0%
363,26046,倒数2期两球组合,50,第1名,1,26047,11 6,否,,0%
364,26046,倒数2期两球组合,50,最后1名,8,26047,11 6,否,,0%
365,26046,倒数3期两球组合,50,第1名,6,26047,11 6,是,6,100.0%
366,26046,倒数3期两球组合,50,最后1名,2 11,26047,11 6,是,11,50.0%
367,26046,倒数4期两球组合,50,第1名,7,26047,11 6,否,,0%
368,26046,倒数4期两球组合,50,最后1名,8,26047,11 6,否,,0%
369,26046,倒数5期两球组合,50,第1名,12,26047,11 6,否,,0%
370,26046,倒数5期两球组合,50,最后1名,9,26047,11 6,否,,0%
371,26046,最新一期两球组合,30,第1名,2,26047,11 6,否,,0%
372,26046,最新一期两球组合,30,最后1名,3 12,26047,11 6,否,,0%
373,26046,倒数2期两球组合,30,第1名,6,26047,11 6,是,6,100.0%
374,26046,倒数2期两球组合,30,最后1名,3 8,26047,11 6,否,,0%
