序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期前区开奖号,是否正确,正确的球,正确率
77,26054,倒数4期两球组合,10,第1名,14,26055,9 35 20 33 10,否,,0%
78,26054,倒数4期两球组合,10,最后1名,21,26055,9 35 20 33 10,否,,0%
79,26054,倒数5期两球组合,10,第1名,24,26055,9 35 20 33 10,否,,0%
80,26054,倒数5期两球组合,10,最后1名,3 20 31 12 25,26055,9 35 20 33 10,是,20,20.0%
81,26053,最新一期两球组合,50,第1名,9,26054,24 14 6 2 22,否,,0%
82,26053,最新一期两球组合,50,最后1名,35,26054,24 14 6 2 22,否,,0%
83,26053,倒数2期两球组合,50,第1名,20,26054,24 14 6 2 22,否,,0%
84,26053,倒数2期两球组合,50,最后1名,3 12,26054,24 14 6 2 22,否,,0%
85,26053,倒数3期两球组合,50,第1名,14,26054,24 14 6 2 22,是,14,100.0%
86,26053,倒数3期两球组合,50,最后1名,34 21 28,26054,24 14 6 2 22,否,,0%
87,26053,倒数4期两球组合,50,第1名,31,26054,24 14 6 2 22,否,,0%
88,26053,倒数4期两球组合,50,最后1名,3 12,26054,24 14 6 2 22,否,,0%
89,26053,倒数5期两球组合,50,第1名,14,26054,24 14 6 2 22,是,14,100.0%
90,26053,倒数5期两球组合,50,最后1名,29 4,26054,24 14 6 2 22,否,,0%
91,26053,最新一期两球组合,30,第1名,4,26054,24 14 6 2 22,否,,0%
92,26053,最新一期两球组合,30,最后1名,27 26,26054,24 14 6 2 22,否,,0%
93,26053,倒数2期两球组合,30,第1名,2,26054,24 14 6 2 22,是,2,100.0%
94,26053,倒数2期两球组合,30,最后1名,34 23 24 10 13,26054,24 14 6 2 22,是,24,20.0%
95,26053,倒数3期两球组合,30,第1名,14,26054,24 14 6 2 22,是,14,100.0%
96,26053,倒数3期两球组合,30,最后1名,19,26054,24 14 6 2 22,否,,0%
97,26053,倒数4期两球组合,30,第1名,2,26054,24 14 6 2 22,是,2,100.0%
98,26053,倒数4期两球组合,30,最后1名,3 13 12,26054,24 14 6 2 22,否,,0%
99,26053,倒数5期两球组合,30,第1名,11,26054,24 14 6 2 22,否,,0%
100,26053,倒数5期两球组合,30,最后1名,4,26054,24 14 6 2 22,否,,0%
101,26053,最新一期两球组合,20,第1名,4,26054,24 14 6 2 22,否,,0%
102,26053,最新一期两球组合,20,最后1名,23,26054,24 14 6 2 22,否,,0%
103,26053,倒数2期两球组合,20,第1名,30,26054,24 14 6 2 22,否,,0%
104,26053,倒数2期两球组合,20,最后1名,17,26054,24 14 6 2 22,否,,0%
105,26053,倒数3期两球组合,20,第1名,12,26054,24 14 6 2 22,否,,0%
106,26053,倒数3期两球组合,20,最后1名,19,26054,24 14 6 2 22,否,,0%
107,26053,倒数4期两球组合,20,第1名,2,26054,24 14 6 2 22,是,2,100.0%
108,26053,倒数4期两球组合,20,最后1名,3 4 12,26054,24 14 6 2 22,否,,0%
109,26053,倒数5期两球组合,20,第1名,11,26054,24 14 6 2 22,否,,0%
110,26053,倒数5期两球组合,20,最后1名,23,26054,24 14 6 2 22,否,,0%
111,26053,最新一期两球组合,10,第1名,28,26054,24 14 6 2 22,否,,0%
112,26053,最新一期两球组合,10,最后1名,34 26,26054,24 14 6 2 22,否,,0%
113,26053,倒数2期两球组合,10,第1名,20,26054,24 14 6 2 22,否,,0%
114,26053,倒数2期两球组合,10,最后1名,16 12 13,26054,24 14 6 2 22,否,,0%
115,26053,倒数3期两球组合,10,第1名,2,26054,24 14 6 2 22,是,2,100.0%
116,26053,倒数3期两球组合,10,最后1名,12 27,26054,24 14 6 2 22,否,,0%
117,26053,倒数4期两球组合,10,第1名,20,26054,24 14 6 2 22,否,,0%
118,26053,倒数4期两球组合,10,最后1名,3 12,26054,24 14 6 2 22,否,,0%
119,26053,倒数5期两球组合,10,第1名,11,26054,24 14 6 2 22,否,,0%
120,26053,倒数5期两球组合,10,最后1名,1 5,26054,24 14 6 2 22,否,,0%
121,26052,最新一期两球组合,50,第1名,34,26053,9 31 14 2 20,否,,0%
122,26052,最新一期两球组合,50,最后1名,19,26053,9 31 14 2 20,否,,0%
123,26052,倒数2期两球组合,50,第1名,3,26053,9 31 14 2 20,否,,0%
124,26052,倒数2期两球组合,50,最后1名,8,26053,9 31 14 2 20,否,,0%
125,26052,倒数3期两球组合,50,第1名,4,26053,9 31 14 2 20,否,,0%
126,26052,倒数3期两球组合,50,最后1名,34,26053,9 31 14 2 20,否,,0%
127,26052,倒数4期两球组合,50,第1名,3,26053,9 31 14 2 20,否,,0%
128,26052,倒数4期两球组合,50,最后1名,10,26053,9 31 14 2 20,否,,0%
129,26052,倒数5期两球组合,50,第1名,18,26053,9 31 14 2 20,否,,0%
130,26052,倒数5期两球组合,50,最后1名,13,26053,9 31 14 2 20,否,,0%
131,26052,最新一期两球组合,30,第1名,21,26053,9 31 14 2 20,否,,0%
132,26052,最新一期两球组合,30,最后1名,33,26053,9 31 14 2 20,否,,0%
133,26052,倒数2期两球组合,30,第1名,20,26053,9 31 14 2 20,是,20,100.0%
134,26052,倒数2期两球组合,30,最后1名,8 15,26053,9 31 14 2 20,否,,0%
135,26052,倒数3期两球组合,30,第1名,6,26053,9 31 14 2 20,否,,0%
136,26052,倒数3期两球组合,30,最后1名,34,26053,9 31 14 2 20,否,,0%
137,26052,倒数4期两球组合,30,第1名,6,26053,9 31 14 2 20,否,,0%
138,26052,倒数4期两球组合,30,最后1名,18 32 27,26053,9 31 14 2 20,否,,0%
139,26052,倒数5期两球组合,30,第1名,32,26053,9 31 14 2 20,否,,0%
140,26052,倒数5期两球组合,30,最后1名,13,26053,9 31 14 2 20,否,,0%
141,26052,最新一期两球组合,20,第1名,33,26053,9 31 14 2 20,否,,0%
142,26052,最新一期两球组合,20,最后1名,4,26053,9 31 14 2 20,否,,0%
143,26052,倒数2期两球组合,20,第1名,3,26053,9 31 14 2 20,否,,0%
144,26052,倒数2期两球组合,20,最后1名,15,26053,9 31 14 2 20,否,,0%
145,26052,倒数3期两球组合,20,第1名,2,26053,9 31 14 2 20,是,2,100.0%
146,26052,倒数3期两球组合,20,最后1名,34,26053,9 31 14 2 20,否,,0%
147,26052,倒数4期两球组合,20,第1名,6,26053,9 31 14 2 20,否,,0%
148,26052,倒数4期两球组合,20,最后1名,4 13 16,26053,9 31 14 2 20,否,,0%
149,26052,倒数5期两球组合,20,第1名,32,26053,9 31 14 2 20,否,,0%
150,26052,倒数5期两球组合,20,最后1名,22,26053,9 31 14 2 20,否,,0%
151,26052,最新一期两球组合,10,第1名,21,26053,9 31 14 2 20,否,,0%
152,26052,最新一期两球组合,10,最后1名,7 4 29,26053,9 31 14 2 20,否,,0%
153,26052,倒数2期两球组合,10,第1名,3,26053,9 31 14 2 20,否,,0%
154,26052,倒数2期两球组合,10,最后1名,7,26053,9 31 14 2 20,否,,0%
155,26052,倒数3期两球组合,10,第1名,2,26053,9 31 14 2 20,是,2,100.0%
156,26052,倒数3期两球组合,10,最后1名,34,26053,9 31 14 2 20,否,,0%
157,26052,倒数4期两球组合,10,第1名,7,26053,9 31 14 2 20,否,,0%
158,26052,倒数4期两球组合,10,最后1名,4,26053,9 31 14 2 20,否,,0%
159,26052,倒数5期两球组合,10,第1名,32,26053,9 31 14 2 20,否,,0%
160,26052,倒数5期两球组合,10,最后1名,22,26053,9 31 14 2 20,否,,0%
161,26051,最新一期两球组合,50,第1名,25,26052,2 28 33 3 20,否,,0%
162,26051,最新一期两球组合,50,最后1名,10,26052,2 28 33 3 20,否,,0%
163,26051,倒数2期两球组合,50,第1名,33,26052,2 28 33 3 20,是,33,100.0%
164,26051,倒数2期两球组合,50,最后1名,20 26 15,26052,2 28 33 3 20,是,20,33.3%
165,26051,倒数3期两球组合,50,第1名,31,26052,2 28 33 3 20,否,,0%
166,26051,倒数3期两球组合,50,最后1名,13,26052,2 28 33 3 20,否,,0%
167,26051,倒数4期两球组合,50,第1名,31,26052,2 28 33 3 20,否,,0%
168,26051,倒数4期两球组合,50,最后1名,21,26052,2 28 33 3 20,否,,0%
169,26051,倒数5期两球组合,50,第1名,13,26052,2 28 33 3 20,否,,0%
170,26051,倒数5期两球组合,50,最后1名,25 24,26052,2 28 33 3 20,否,,0%
171,26051,最新一期两球组合,30,第1名,12,26052,2 28 33 3 20,否,,0%
172,26051,最新一期两球组合,30,最后1名,15,26052,2 28 33 3 20,否,,0%
173,26051,倒数2期两球组合,30,第1名,32,26052,2 28 33 3 20,否,,0%
174,26051,倒数2期两球组合,30,最后1名,19 26,26052,2 28 33 3 20,否,,0%
175,26051,倒数3期两球组合,30,第1名,27,26052,2 28 33 3 20,否,,0%
176,26051,倒数3期两球组合,30,最后1名,2 4,26052,2 28 33 3 20,是,2,50.0%
177,26051,倒数4期两球组合,30,第1名,33,26052,2 28 33 3 20,是,33,100.0%
178,26051,倒数4期两球组合,30,最后1名,7,26052,2 28 33 3 20,否,,0%
179,26051,倒数5期两球组合,30,第1名,11,26052,2 28 33 3 20,否,,0%
180,26051,倒数5期两球组合,30,最后1名,24,26052,2 28 33 3 20,否,,0%
181,26051,最新一期两球组合,20,第1名,16,26052,2 28 33 3 20,否,,0%
182,26051,最新一期两球组合,20,最后1名,10,26052,2 28 33 3 20,否,,0%
183,26051,倒数2期两球组合,20,第1名,32,26052,2 28 33 3 20,否,,0%
184,26051,倒数2期两球组合,20,最后1名,19 24 11 6 15,26052,2 28 33 3 20,否,,0%
185,26051,倒数3期两球组合,20,第1名,18,26052,2 28 33 3 20,否,,0%
186,26051,倒数3期两球组合,20,最后1名,2 34 10 17,26052,2 28 33 3 20,是,2,25.0%
187,26051,倒数4期两球组合,20,第1名,32,26052,2 28 33 3 20,否,,0%
188,26051,倒数4期两球组合,20,最后1名,2 21,26052,2 28 33 3 20,是,2,50.0%
189,26051,倒数5期两球组合,20,第1名,11,26052,2 28 33 3 20,否,,0%
190,26051,倒数5期两球组合,20,最后1名,27,26052,2 28 33 3 20,否,,0%
191,26051,最新一期两球组合,10,第1名,28,26052,2 28 33 3 20,是,28,100.0%
192,26051,最新一期两球组合,10,最后1名,23 3,26052,2 28 33 3 20,是,3,50.0%
193,26051,倒数2期两球组合,10,第1名,32,26052,2 28 33 3 20,否,,0%
194,26051,倒数2期两球组合,10,最后1名,2 19 23,26052,2 28 33 3 20,是,2,33.3%
195,26051,倒数3期两球组合,10,第1名,33,26052,2 28 33 3 20,是,33,100.0%
196,26051,倒数3期两球组合,10,最后1名,17,26052,2 28 33 3 20,否,,0%
197,26051,倒数4期两球组合,10,第1名,32,26052,2 28 33 3 20,否,,0%
198,26051,倒数4期两球组合,10,最后1名,8,26052,2 28 33 3 20,否,,0%
199,26051,倒数5期两球组合,10,第1名,18,26052,2 28 33 3 20,否,,0%
200,26051,倒数5期两球组合,10,最后1名,25 27 30 19 1 2,26052,2 28 33 3 20,是,2,16.7%
201,26050,最新一期两球组合,50,第1名,26,26051,33 28 13 32 18,否,,0%
202,26050,最新一期两球组合,50,最后1名,25,26051,33 28 13 32 18,否,,0%
203,26050,倒数2期两球组合,50,第1名,33,26051,33 28 13 32 18,是,33,100.0%
204,26050,倒数2期两球组合,50,最后1名,2,26051,33 28 13 32 18,否,,0%
205,26050,倒数3期两球组合,50,第1名,23,26051,33 28 13 32 18,否,,0%
206,26050,倒数3期两球组合,50,最后1名,11,26051,33 28 13 32 18,否,,0%
207,26050,倒数4期两球组合,50,第1名,34,26051,33 28 13 32 18,否,,0%
208,26050,倒数4期两球组合,50,最后1名,15,26051,33 28 13 32 18,否,,0%
209,26050,倒数5期两球组合,50,第1名,10,26051,33 28 13 32 18,否,,0%
210,26050,倒数5期两球组合,50,最后1名,22 21 28,26051,33 28 13 32 18,是,28,33.3%
211,26050,最新一期两球组合,30,第1名,4,26051,33 28 13 32 18,否,,0%
212,26050,最新一期两球组合,30,最后1名,27,26051,33 28 13 32 18,否,,0%
213,26050,倒数2期两球组合,30,第1名,33,26051,33 28 13 32 18,是,33,100.0%
214,26050,倒数2期两球组合,30,最后1名,30,26051,33 28 13 32 18,否,,0%
215,26050,倒数3期两球组合,30,第1名,8,26051,33 28 13 32 18,否,,0%
216,26050,倒数3期两球组合,30,最后1名,18 11,26051,33 28 13 32 18,是,18,50.0%
217,26050,倒数4期两球组合,30,第1名,34,26051,33 28 13 32 18,否,,0%
218,26050,倒数4期两球组合,30,最后1名,25,26051,33 28 13 32 18,否,,0%
219,26050,倒数5期两球组合,30,第1名,23,26051,33 28 13 32 18,否,,0%
220,26050,倒数5期两球组合,30,最后1名,13 8,26051,33 28 13 32 18,是,13,50.0%
221,26050,最新一期两球组合,20,第1名,4,26051,33 28 13 32 18,否,,0%
222,26050,最新一期两球组合,20,最后1名,25,26051,33 28 13 32 18,否,,0%
223,26050,倒数2期两球组合,20,第1名,33,26051,33 28 13 32 18,是,33,100.0%
224,26050,倒数2期两球组合,20,最后1名,34 4 24,26051,33 28 13 32 18,否,,0%
225,26050,倒数3期两球组合,20,第1名,10,26051,33 28 13 32 18,否,,0%
226,26050,倒数3期两球组合,20,最后1名,11,26051,33 28 13 32 18,否,,0%
227,26050,倒数4期两球组合,20,第1名,33,26051,33 28 13 32 18,是,33,100.0%
228,26050,倒数4期两球组合,20,最后1名,25,26051,33 28 13 32 18,否,,0%
229,26050,倒数5期两球组合,20,第1名,10,26051,33 28 13 32 18,否,,0%
230,26050,倒数5期两球组合,20,最后1名,12,26051,33 28 13 32 18,否,,0%
231,26050,最新一期两球组合,10,第1名,30,26051,33 28 13 32 18,否,,0%
232,26050,最新一期两球组合,10,最后1名,25 3,26051,33 28 13 32 18,否,,0%
233,26050,倒数2期两球组合,10,第1名,33,26051,33 28 13 32 18,是,33,100.0%
234,26050,倒数2期两球组合,10,最后1名,13,26051,33 28 13 32 18,是,13,100.0%
235,26050,倒数3期两球组合,10,第1名,10,26051,33 28 13 32 18,否,,0%
236,26050,倒数3期两球组合,10,最后1名,19 32,26051,33 28 13 32 18,是,32,50.0%
237,26050,倒数4期两球组合,10,第1名,33,26051,33 28 13 32 18,是,33,100.0%
238,26050,倒数4期两球组合,10,最后1名,31 22 13 8 25,26051,33 28 13 32 18,是,13,20.0%
239,26050,倒数5期两球组合,10,第1名,10,26051,33 28 13 32 18,否,,0%
240,26050,倒数5期两球组合,10,最后1名,20 7 12 3 24 13,26051,33 28 13 32 18,是,13,16.7%
241,26049,最新一期两球组合,50,第1名,24,26050,6 23 10 33 14,否,,0%
242,26049,最新一期两球组合,50,最后1名,23,26050,6 23 10 33 14,是,23,100.0%
243,26049,倒数2期两球组合,50,第1名,25,26050,6 23 10 33 14,否,,0%
244,26049,倒数2期两球组合,50,最后1名,32,26050,6 23 10 33 14,否,,0%
245,26049,倒数3期两球组合,50,第1名,1,26050,6 23 10 33 14,否,,0%
246,26049,倒数3期两球组合,50,最后1名,27,26050,6 23 10 33 14,否,,0%
247,26049,倒数4期两球组合,50,第1名,26,26050,6 23 10 33 14,否,,0%
248,26049,倒数4期两球组合,50,最后1名,29,26050,6 23 10 33 14,否,,0%
249,26049,倒数5期两球组合,50,第1名,15,26050,6 23 10 33 14,否,,0%
250,26049,倒数5期两球组合,50,最后1名,31,26050,6 23 10 33 14,否,,0%
251,26049,最新一期两球组合,30,第1名,10,26050,6 23 10 33 14,是,10,100.0%
252,26049,最新一期两球组合,30,最后1名,13,26050,6 23 10 33 14,否,,0%
253,26049,倒数2期两球组合,30,第1名,14,26050,6 23 10 33 14,是,14,100.0%
254,26049,倒数2期两球组合,30,最后1名,5 10,26050,6 23 10 33 14,是,10,50.0%
255,26049,倒数3期两球组合,30,第1名,1,26050,6 23 10 33 14,否,,0%
256,26049,倒数3期两球组合,30,最后1名,27,26050,6 23 10 33 14,否,,0%
257,26049,倒数4期两球组合,30,第1名,34,26050,6 23 10 33 14,否,,0%
258,26049,倒数4期两球组合,30,最后1名,7,26050,6 23 10 33 14,否,,0%
259,26049,倒数5期两球组合,30,第1名,14,26050,6 23 10 33 14,是,14,100.0%
260,26049,倒数5期两球组合,30,最后1名,31,26050,6 23 10 33 14,否,,0%
261,26049,最新一期两球组合,20,第1名,21,26050,6 23 10 33 14,否,,0%
262,26049,最新一期两球组合,20,最后1名,6 31 8 13 12,26050,6 23 10 33 14,是,6,20.0%
263,26049,倒数2期两球组合,20,第1名,6,26050,6 23 10 33 14,是,6,100.0%
264,26049,倒数2期两球组合,20,最后1名,31,26050,6 23 10 33 14,否,,0%
265,26049,倒数3期两球组合,20,第1名,6,26050,6 23 10 33 14,是,6,100.0%
266,26049,倒数3期两球组合,20,最后1名,27,26050,6 23 10 33 14,否,,0%
267,26049,倒数4期两球组合,20,第1名,14,26050,6 23 10 33 14,是,14,100.0%
268,26049,倒数4期两球组合,20,最后1名,32,26050,6 23 10 33 14,否,,0%
269,26049,倒数5期两球组合,20,第1名,15,26050,6 23 10 33 14,否,,0%
270,26049,倒数5期两球组合,20,最后1名,8 3 22,26050,6 23 10 33 14,否,,0%
271,26049,最新一期两球组合,10,第1名,10,26050,6 23 10 33 14,是,10,100.0%
272,26049,最新一期两球组合,10,最后1名,25 13,26050,6 23 10 33 14,否,,0%
273,26049,倒数2期两球组合,10,第1名,6,26050,6 23 10 33 14,是,6,100.0%
274,26049,倒数2期两球组合,10,最后1名,32 25 31 13,26050,6 23 10 33 14,否,,0%
275,26049,倒数3期两球组合,10,第1名,6,26050,6 23 10 33 14,是,6,100.0%
276,26049,倒数3期两球组合,10,最后1名,27,26050,6 23 10 33 14,否,,0%
277,26049,倒数4期两球组合,10,第1名,1,26050,6 23 10 33 14,否,,0%
278,26049,倒数4期两球组合,10,最后1名,5,26050,6 23 10 33 14,否,,0%
279,26049,倒数5期两球组合,10,第1名,15,26050,6 23 10 33 14,否,,0%
280,26049,倒数5期两球组合,10,最后1名,7 20 3 22 8 24,26050,6 23 10 33 14,否,,0%
281,26048,最新一期两球组合,50,第1名,20,26049,1 15 6 17 14,否,,0%
282,26048,最新一期两球组合,50,最后1名,15,26049,1 15 6 17 14,是,15,100.0%
283,26048,倒数2期两球组合,50,第1名,12,26049,1 15 6 17 14,否,,0%
284,26048,倒数2期两球组合,50,最后1名,28,26049,1 15 6 17 14,否,,0%
285,26048,倒数3期两球组合,50,第1名,23,26049,1 15 6 17 14,否,,0%
286,26048,倒数3期两球组合,50,最后1名,13,26049,1 15 6 17 14,否,,0%
287,26048,倒数4期两球组合,50,第1名,30,26049,1 15 6 17 14,否,,0%
288,26048,倒数4期两球组合,50,最后1名,22 4,26049,1 15 6 17 14,否,,0%
289,26048,倒数5期两球组合,50,第1名,11,26049,1 15 6 17 14,否,,0%
290,26048,倒数5期两球组合,50,最后1名,6,26049,1 15 6 17 14,是,6,100.0%
291,26048,最新一期两球组合,30,第1名,30,26049,1 15 6 17 14,否,,0%
292,26048,最新一期两球组合,30,最后1名,15 3 26,26049,1 15 6 17 14,是,15,33.3%
293,26048,倒数2期两球组合,30,第1名,23,26049,1 15 6 17 14,否,,0%
294,26048,倒数2期两球组合,30,最后1名,14,26049,1 15 6 17 14,是,14,100.0%
295,26048,倒数3期两球组合,30,第1名,31,26049,1 15 6 17 14,否,,0%
296,26048,倒数3期两球组合,30,最后1名,6,26049,1 15 6 17 14,是,6,100.0%
297,26048,倒数4期两球组合,30,第1名,19,26049,1 15 6 17 14,否,,0%
298,26048,倒数4期两球组合,30,最后1名,26 16 28 9,26049,1 15 6 17 14,否,,0%
299,26048,倒数5期两球组合,30,第1名,11,26049,1 15 6 17 14,否,,0%
300,26048,倒数5期两球组合,30,最后1名,6,26049,1 15 6 17 14,是,6,100.0%
301,26048,最新一期两球组合,20,第1名,29,26049,1 15 6 17 14,否,,0%
302,26048,最新一期两球组合,20,最后1名,15,26049,1 15 6 17 14,是,15,100.0%
303,26048,倒数2期两球组合,20,第1名,25,26049,1 15 6 17 14,否,,0%
304,26048,倒数2期两球组合,20,最后1名,16,26049,1 15 6 17 14,否,,0%
305,26048,倒数3期两球组合,20,第1名,31,26049,1 15 6 17 14,否,,0%
306,26048,倒数3期两球组合,20,最后1名,10 30,26049,1 15 6 17 14,否,,0%
307,26048,倒数4期两球组合,20,第1名,33,26049,1 15 6 17 14,否,,0%
308,26048,倒数4期两球组合,20,最后1名,2 25 16 28,26049,1 15 6 17 14,否,,0%
309,26048,倒数5期两球组合,20,第1名,11,26049,1 15 6 17 14,否,,0%
310,26048,倒数5期两球组合,20,最后1名,19 33 6,26049,1 15 6 17 14,是,6,33.3%
311,26048,最新一期两球组合,10,第1名,19,26049,1 15 6 17 14,否,,0%
312,26048,最新一期两球组合,10,最后1名,15 18,26049,1 15 6 17 14,是,15,50.0%
313,26048,倒数2期两球组合,10,第1名,17,26049,1 15 6 17 14,是,17,100.0%
314,26048,倒数2期两球组合,10,最后1名,24,26049,1 15 6 17 14,否,,0%
315,26048,倒数3期两球组合,10,第1名,17,26049,1 15 6 17 14,是,17,100.0%
316,26048,倒数3期两球组合,10,最后1名,1,26049,1 15 6 17 14,是,1,100.0%
317,26048,倒数4期两球组合,10,第1名,20,26049,1 15 6 17 14,否,,0%
318,26048,倒数4期两球组合,10,最后1名,2 28 10 29 9 4,26049,1 15 6 17 14,否,,0%
319,26048,倒数5期两球组合,10,第1名,20,26049,1 15 6 17 14,否,,0%
320,26048,倒数5期两球组合,10,最后1名,8 7 19 14,26049,1 15 6 17 14,是,14,25.0%
321,26047,最新一期两球组合,50,第1名,19,26048,20 17 23 35 11,否,,0%
322,26047,最新一期两球组合,50,最后1名,18,26048,20 17 23 35 11,否,,0%
323,26047,倒数2期两球组合,50,第1名,3,26048,20 17 23 35 11,否,,0%
324,26047,倒数2期两球组合,50,最后1名,34 29 4,26048,20 17 23 35 11,否,,0%
325,26047,倒数3期两球组合,50,第1名,20,26048,20 17 23 35 11,是,20,100.0%
